log(shear rate) in s^-1,Polymer conc(wt%),NaCl concentration(wt%),Ca+2 concentration(wt%),Temperature(in celsius),log(viscosity) in cP
0.213691,0.3,4.0,0.1,25.0,27.209
0.483501,0.3,4.0,0.1,25.0,25.4627
0.967867,0.3,4.0,0.1,25.0,27.4651
2.1023,0.3,4.0,0.1,25.0,25.6959
4.38373,0.3,4.0,0.1,25.0,25.8132
9.91868,0.3,4.0,0.1,25.0,20.941999999999997
19.0608,0.3,4.0,0.1,25.0,21.026999999999997
52.8937,0.3,4.0,0.1,25.0,14.8077
97.5802,0.3,4.0,0.1,25.0,12.8861
0.01,0.3,4.0,0.15,25.0,20.0648
0.014440200000000002,0.3,4.0,0.15,25.0,21.599
0.0245511,0.3,4.0,0.15,25.0,21.6702
0.0417414,0.3,4.0,0.15,25.0,21.7416
0.0906665,0.3,4.0,0.15,25.0,21.8465
0.205143,0.3,4.0,0.15,25.0,21.9574
0.44559099999999996,0.3,4.0,0.15,25.0,20.5429
1.05021,0.3,4.0,0.15,25.0,20.6524
2.0182,0.3,4.0,0.15,25.0,22.2709
4.566409999999999,0.3,4.0,0.15,25.0,19.4053
9.5219,0.3,4.0,0.15,25.0,18.1507
22.4421,0.3,4.0,0.15,25.0,16.99
44.9244,0.3,4.0,0.15,25.0,14.7927
93.6766,0.3,4.0,0.15,25.0,12.8828
0.0101444,0.2,1.0,0.0,50.0,25.383000000000003
0.0179602,0.2,1.0,0.0,50.0,23.5772
0.035951800000000006,0.2,1.0,0.0,50.0,23.4775
0.0636908,0.2,1.0,0.0,50.0,25.0998
0.103953,0.2,1.0,0.0,50.0,25.0248
0.216759,0.2,1.0,0.0,50.0,24.9127
0.490278,0.2,1.0,0.0,50.0,23.1059
1.02231,0.2,1.0,0.0,50.0,23.0024
2.13102,0.2,1.0,0.0,50.0,21.3447
4.62868,0.2,1.0,0.0,50.0,21.2439
10.0475,0.2,1.0,0.0,50.0,18.37
20.9246,0.2,1.0,0.0,50.0,13.8047
47.2988,0.2,1.0,0.0,50.0,11.124
98.5337,0.2,1.0,0.0,50.0,8.96832
0.0101317,0.2,1.0,0.0,70.0,19.1606
0.016536500000000003,0.2,1.0,0.0,70.0,19.1033
0.03592940000000001,0.2,1.0,0.0,70.0,20.3979
0.0996702,0.2,1.0,0.0,70.0,18.8949
0.20782899999999999,0.2,1.0,0.0,70.0,18.8103
0.45141499999999996,0.2,1.0,0.0,70.0,18.7214
0.980497,0.2,1.0,0.0,70.0,18.6329
2.1290299999999998,0.2,1.0,0.0,70.0,17.2858
4.62148,0.2,1.0,0.0,70.0,14.9474
9.63654,0.2,1.0,0.0,70.0,14.8805
20.075,0.2,1.0,0.0,70.0,11.9969
31.4351,0.2,1.0,0.0,70.0,10.3946
55.6371,0.2,1.0,0.0,70.0,8.99967
98.4723,0.2,1.0,0.0,70.0,7.791910000000001
0.010109700000000001,0.2,1.0,0.0,90.0,11.7131
0.0165056,0.2,1.0,0.0,90.0,12.5287
0.0330402,0.2,1.0,0.0,90.0,12.4758
0.06095269999999999,0.2,1.0,0.0,90.0,12.4292
0.103629,0.2,1.0,0.0,90.0,12.389000000000001
0.207441,0.2,1.0,0.0,90.0,12.3366
0.45057200000000003,0.2,1.0,0.0,90.0,12.2783
0.978665,0.2,1.0,0.0,90.0,12.2203
2.12439,0.2,1.0,0.0,90.0,10.5671
4.4297,0.2,1.0,0.0,90.0,10.5198
9.62154,0.2,1.0,0.0,90.0,10.4701
